                                                                                                             Question,Answer,level
"289 Gymnosporangiums are in a box. If you did built 52 Gymnosporangiums, how many Gymnosporangiums are left in the box?",237,2th
A bag contains 81 white wines and 5 picturesquenesss. What is the total number of items in the bag?,86,2th
"You have 324 dominances. If you  did cooked 26 dominances, how many dominances do you have left?",298,2th
"You have 66 skeets. If you  did dried 5 skeets, how many skeets do you have left?",61,2th
"There are 51 Handys in a bag. If you did watered 6 Handys, how many Handys are left in the bag?",45,2th
"There are 52 flickers in a bag. If you did watered 5 flickers, how many flickers are left in the bag?",47,2th
A bag contains 47 Virgos and 1 luminous fluxs. What is the total number of items in the bag?,48,2th
"225 markkas are in a box. If you did ironed 44 markkas, how many markkas are left in the box?",181,2th
"If you have 144 parasites and you take out 39 parasites, how many parasites do you have left?",105,2th
"You have 196 green ashs. If you  did grew 95 green ashs, how many green ashs do you have left?",101,2th
"There are 441 Donner Passs in a bag. If you did planted 30 Donner Passs, how many Donner Passs are left in the bag?",411,2th
"If you have 64 superior thyroid veins and you did painted 44 superior thyroid veins, how many superior thyroid veins do you have left?",20,2th
"400 procyonids are in a box. If you did bought 26 procyonids, how many procyonids are left in the box?",374,2th
"There are 64 sanitarinesss in a bag. If you take out 60 sanitarinesss, how many sanitarinesss are left in the bag?",4,2th
"You have 66 widow's walks. If you  did bought 6 widow's walks, how many widow's walks do you have left?",60,2th
John has 169 second trimester. He did painted 93 second trimesters. How many second trimesters does he have now?,76,2th
"There are 225 space shuttles in a bag. If you did built 16 space shuttles, how many space shuttles are left in the bag?",209,2th
A bag contains 361 subornations and 32 condensers. What is the total number of items in the bag?,393,2th
"There are 64 continental drifts in a bag. If you did found 61 continental drifts, how many continental drifts are left in the bag?",3,2th
"361 yangs are in a box. If you did planted 37 yangs, how many yangs are left in the box?",324,2th
"There are 169 somas in a bag. If you did painted 70 somas, how many somas are left in the bag?",99,2th
"You have 87 curfews. If you  can buy 1 curfews, how many curfews do you have left?",86,2th
"26 dance bands are in a box. If you did ironed 4 dance bands, how many dance bands are left in the box?",22,2th
A bag contains 144 minisubs and 15 kangaroo mouses. What is the total number of items in the bag?,159,2th
John has 100 unresponsiveness. He did painted 42 unresponsivenesss. How many unresponsivenesss does he have now?,58,2th
A bag contains 196 Macowanitess and 42 antidiuretics. What is the total number of items in the bag?,238,2th
"You have 361 Tswanas. If you  did organized 86 Tswanas, how many Tswanas do you have left?",275,2th
"There are 64 ballet masters in a bag. If you lost away 38 ballet masters, how many ballet masters are left in the bag?",26,2th
John has 121 chest protector. He did grew 11 chest protectors. How many chest protectors does he have now?,110,2th
"There are 324 terminal velocitys in a bag. If you lost away 1 terminal velocitys, how many terminal velocitys are left in the bag?",323,2th
A bag contains 37 lymphogranulomas and 6 carloads. What is the total number of items in the bag?,43,2th
"400 Artemiss are in a box. If you lost away 5 Artemiss, how many Artemiss are left in the box?",395,2th
"There are 324 floccules in a bag. If you did shared 39 floccules, how many floccules are left in the bag?",285,2th
"If you have 256 Carthusian orders and you take out 36 Carthusian orders, how many Carthusian orders do you have left?",220,2th
"You have 289 matadors. If you  did ironed 79 matadors, how many matadors do you have left?",210,2th
"17 lymphocytopenias are in a box. If you did painted 3 lymphocytopenias, how many lymphocytopenias are left in the box?",14,2th
"There are 289 oxeyes in a bag. If you did mowed 16 oxeyes, how many oxeyes are left in the bag?",273,2th
John has 121 hierarchical structure. He did painted 3 hierarchical structures. How many hierarchical structures does he have now?,118,2th
"You have 196 abdications. If you  did built 47 abdications, how many abdications do you have left?",149,2th
A bag contains 256 currencys and 101 water elms. What is the total number of items in the bag?,357,2th
"There are 361 crazes in a bag. If you did painted 30 crazes, how many crazes are left in the bag?",331,2th
"There are 87 Carchariidaes in a bag. If you did planted 5 Carchariidaes, how many Carchariidaes are left in the bag?",82,2th
"There are 400 Madonnas in a bag. If you did ate 16 Madonnas, how many Madonnas are left in the bag?",384,2th
A bag contains 100 execrations and 18 toothbrushs. What is the total number of items in the bag?,118,2th
"If you have 441 cheerleaders and you did fixed 18 cheerleaders, how many cheerleaders do you have left?",423,2th
John has 169 discus. He did built 38 discuss. How many discuss does he have now?,131,2th
"If you have 121 Crazy Horses and you did harvested 58 Crazy Horses, how many Crazy Horses do you have left?",63,2th
"There are 48 amaranths in a bag. If you lost away 3 amaranths, how many amaranths are left in the bag?",45,2th
"There are 289 Paris greens in a bag. If you did bought 74 Paris greens, how many Paris greens are left in the bag?",215,2th
"You have 121 elapids. If you  gave away 78 elapids, how many elapids do you have left?",43,2th
A bag contains 441 savers and 74 bloods. What is the total number of items in the bag?,515,2th
"There are 81 percussion caps in a bag. If you did shared 35 percussion caps, how many percussion caps are left in the bag?",46,2th
"There are 144 quoitss in a bag. If you lost away 5 quoitss, how many quoitss are left in the bag?",139,2th
"100 dilatorinesss are in a box. If you did sold 64 dilatorinesss, how many dilatorinesss are left in the box?",36,2th
"There are 100 satisfactorinesss in a bag. If you did ironed 95 satisfactorinesss, how many satisfactorinesss are left in the bag?",5,2th
"If you have 64 restrictivenesss and you did cooked 26 restrictivenesss, how many restrictivenesss do you have left?",38,2th
A bag contains 81 Galways and 76 Byzantine architectures. What is the total number of items in the bag?,157,2th
"If you have 144 exhibitionisms and you did mowed 65 exhibitionisms, how many exhibitionisms do you have left?",79,2th
A bag contains 64 Homopteras and 9 stocks. What is the total number of items in the bag?,73,2th
"144 Septuagesimas are in a box. If you did bought 97 Septuagesimas, how many Septuagesimas are left in the box?",47,2th
A bag contains 441 chambers and 28 lancetfishs. What is the total number of items in the bag?,469,2th
A bag contains 76 limbers and 2 rue anemones. What is the total number of items in the bag?,78,2th
"There are 28 cycles in a bag. If you did organized 4 cycles, how many cycles are left in the bag?",24,2th
"There are 121 Ponss in a bag. If you take out 49 Ponss, how many Ponss are left in the bag?",72,2th
"You have 23 white-rumped shrikes. If you  lost away 1 white-rumped shrikes, how many white-rumped shrikes do you have left?",22,2th
"400 Viscaceaes are in a box. If you did painted 88 Viscaceaes, how many Viscaceaes are left in the box?",312,2th
"93 glints are in a box. If you can buy 6 glints, how many glints are left in the box?",87,2th
A bag contains 100 pain thresholds and 77 wickets. What is the total number of items in the bag?,177,2th
"There are 256 sleeps in a bag. If you did washed 78 sleeps, how many sleeps are left in the bag?",178,2th
"If you have 45 red-eyed vireos and you did ate 2 red-eyed vireos, how many red-eyed vireos do you have left?",43,2th
"If you have 25 Haitian monetary units and you did washed 20 Haitian monetary units, how many Haitian monetary units do you have left?",5,2th
"There are 361 dichotomys in a bag. If you did fixed 8 dichotomys, how many dichotomys are left in the bag?",353,2th
"There are 256 chimes in a bag. If you did cooked 21 chimes, how many chimes are left in the bag?",235,2th
"If you have 92 Dryopteriss and you did ironed 2 Dryopteriss, how many Dryopteriss do you have left?",90,2th
A bag contains 361 poles and 58 traineeships. What is the total number of items in the bag?,419,2th
"441 jumpings are in a box. If you did washed 26 jumpings, how many jumpings are left in the box?",415,2th
A bag contains 81 Regencys and 58 Holothuroideas. What is the total number of items in the bag?,139,2th
"121 Chaplins are in a box. If you did cleaned 19 Chaplins, how many Chaplins are left in the box?",102,2th
"There are 225 Anglo-Saxons in a bag. If you did found 24 Anglo-Saxons, how many Anglo-Saxons are left in the bag?",201,2th
"There are 89 javelins in a bag. If you did washed 5 javelins, how many javelins are left in the bag?",84,2th
A bag contains 68 geostrategys and 1 live oaks. What is the total number of items in the bag?,69,2th
"66 pilot cloths are in a box. If you did cleaned 5 pilot cloths, how many pilot cloths are left in the box?",61,2th
"36 stogys are in a box. If you lost away 6 stogys, how many stogys are left in the box?",30,2th
"400 Bradys are in a box. If you did harvested 67 Bradys, how many Bradys are left in the box?",333,2th
"63 certified public accountants are in a box. If you did folded 5 certified public accountants, how many certified public accountants are left in the box?",58,2th
"There are 36 Agnis in a bag. If you did sold 5 Agnis, how many Agnis are left in the bag?",31,2th
A bag contains 80 earflaps and 6 cartridge brasss. What is the total number of items in the bag?,86,2th
John has 63 standby. He did picked_up 3 standbys. How many standbys does he have now?,60,2th
A bag contains 27 Oenanthes and 2 fairy godmothers. What is the total number of items in the bag?,29,2th
"There are 9 Chagalls in a bag. If you lost away 4 Chagalls, how many Chagalls are left in the bag?",5,2th
"There are 400 narks in a bag. If you did washed 2 narks, how many narks are left in the bag?",398,2th
"You have 144 sconces. If you  did shared 100 sconces, how many sconces do you have left?",44,2th
"There are 64 hyphemas in a bag. If you did planted 32 hyphemas, how many hyphemas are left in the bag?",32,2th
"There are 324 barleys in a bag. If you did cooked 93 barleys, how many barleys are left in the bag?",231,2th
John has 81 clear and present danger. He did grew 56 clear and present dangers. How many clear and present dangers does he have now?,25,2th
"There are 94 rams in a bag. If you did planted 1 rams, how many rams are left in the bag?",93,2th
"If you have 100 rockslides and you did folded 11 rockslides, how many rockslides do you have left?",89,2th
John has 74 anthill. He lost away 8 anthills. How many anthills does he have now?,66,2th
A bag contains 81 Mons and 63 hemiacetals. What is the total number of items in the bag?,144,2th
"You have 16 dulcimers. If you  did folded 3 dulcimers, how many dulcimers do you have left?",13,2th
"You have 27 Hinaults. If you  did washed 5 Hinaults, how many Hinaults do you have left?",22,2th
A bag contains 121 housekeepers and 60 yaupon hollys. What is the total number of items in the bag?,181,2th
"There are 256 milk chocolates in a bag. If you did dried 64 milk chocolates, how many milk chocolates are left in the bag?",192,2th
A bag contains 64 ergonovines and 18 morphophonemic systems. What is the total number of items in the bag?,82,2th
"169 battering rams are in a box. If you did built 9 battering rams, how many battering rams are left in the box?",160,2th
"100 ventral roots are in a box. If you did washed 5 ventral roots, how many ventral roots are left in the box?",95,2th
"You have 361 Taoisms. If you  did fixed 72 Taoisms, how many Taoisms do you have left?",289,2th
"If you have 256 Houghtons and you did washed 93 Houghtons, how many Houghtons do you have left?",163,2th
"You have 441 stem blights. If you  did ironed 41 stem blights, how many stem blights do you have left?",400,2th
"There are 400 Kuipers in a bag. If you did ironed 13 Kuipers, how many Kuipers are left in the bag?",387,2th
"If you have 225 methionines and you did painted 34 methionines, how many methionines do you have left?",191,2th
"There are 400 purple anises in a bag. If you take out 37 purple anises, how many purple anises are left in the bag?",363,2th
"121 Somaterias are in a box. If you did folded 95 Somaterias, how many Somaterias are left in the box?",26,2th
A bag contains 256 computer-aided designs and 60 barcaroles. What is the total number of items in the bag?,316,2th
"There are 62 food pyramids in a bag. If you did cleaned 4 food pyramids, how many food pyramids are left in the bag?",58,2th
"There are 256 speleologys in a bag. If you did ironed 24 speleologys, how many speleologys are left in the bag?",232,2th
"There are 100 siliques in a bag. If you did mowed 76 siliques, how many siliques are left in the bag?",24,2th
"There are 66 plantain lilys in a bag. If you did planted 6 plantain lilys, how many plantain lilys are left in the bag?",60,2th
"You have 196 entails. If you  did painted 63 entails, how many entails do you have left?",133,2th
"There are 324 paramount issues in a bag. If you did shared 42 paramount issues, how many paramount issues are left in the bag?",282,2th
"144 counterglows are in a box. If you did harvested 58 counterglows, how many counterglows are left in the box?",86,2th
"You have 400 kyats. If you  did mowed 9 kyats, how many kyats do you have left?",391,2th
A bag contains 324 cotton mills and 45 catchings. What is the total number of items in the bag?,369,2th
John has 324 orrery. He did organized 48 orrerys. How many orrerys does he have now?,276,2th
"There are 49 scratchers in a bag. If you did had 32 scratchers, how many scratchers are left in the bag?",17,2th
"There are 324 crossing overs in a bag. If you did ate 24 crossing overs, how many crossing overs are left in the bag?",300,2th
"361 cartons are in a box. If you did found 17 cartons, how many cartons are left in the box?",344,2th
"There are 35 Kirghizs in a bag. If you did organized 1 Kirghizs, how many Kirghizs are left in the bag?",34,2th
A bag contains 35 encephalographys and 1 default judgments. What is the total number of items in the bag?,36,2th
"If you have 36 Pleurotuss and you did washed 13 Pleurotuss, how many Pleurotuss do you have left?",23,2th
"You have 73 onions. If you  did fixed 4 onions, how many onions do you have left?",69,2th
A bag contains 441 stigmatizations and 27 theologys. What is the total number of items in the bag?,468,2th
"You have 256 rabbiteye blueberrys. If you  did bought 67 rabbiteye blueberrys, how many rabbiteye blueberrys do you have left?",189,2th
John has 225 crochet stitch. He did harvested 81 crochet stitchs. How many crochet stitchs does he have now?,144,2th
"There are 56 decays in a bag. If you did washed 3 decays, how many decays are left in the bag?",53,2th
"There are 45 acetic acids in a bag. If you did bought 3 acetic acids, how many acetic acids are left in the bag?",42,2th
A bag contains 196 dune cyclings and 13 enterotoxins. What is the total number of items in the bag?,209,2th
"If you have 81 apatosaurs and you did had 64 apatosaurs, how many apatosaurs do you have left?",17,2th
"You have 144 picoseconds. If you  did folded 79 picoseconds, how many picoseconds do you have left?",65,2th
"You have 76 sittings. If you  did washed 5 sittings, how many sittings do you have left?",71,2th
"36 aztreonams are in a box. If you did ate 23 aztreonams, how many aztreonams are left in the box?",13,2th
"There are 169 greetings in a bag. If you did painted 13 greetings, how many greetings are left in the bag?",156,2th
"If you have 99 Aconitums and you did folded 5 Aconitums, how many Aconitums do you have left?",94,2th
"If you have 21 large whites and you did planted 3 large whites, how many large whites do you have left?",18,2th
"You have 400 leaks. If you  take out 44 leaks, how many leaks do you have left?",356,2th
"You have 25 radial pulses. If you  did planted 11 radial pulses, how many radial pulses do you have left?",14,2th
"196 coatings are in a box. If you did cleaned 82 coatings, how many coatings are left in the box?",114,2th
"If you have 400 slicers and you can buy 51 slicers, how many slicers do you have left?",349,2th
"There are 289 lines in a bag. If you did harvested 60 lines, how many lines are left in the bag?",229,2th
A bag contains 441 large poodles and 41 semiautomatic firearms. What is the total number of items in the bag?,482,2th
A bag contains 400 Bourbons and 34 blue peas. What is the total number of items in the bag?,434,2th
John has 28 lancewood. He did ironed 2 lancewoods. How many lancewoods does he have now?,26,2th
"There are 144 Valis in a bag. If you did bought 35 Valis, how many Valis are left in the bag?",109,2th
"You have 144 pleonasms. If you  did watered 96 pleonasms, how many pleonasms do you have left?",48,2th
"There are 400 posterior nariss in a bag. If you gave away 36 posterior nariss, how many posterior nariss are left in the bag?",364,2th
"41 Idahos are in a box. If you did had 6 Idahos, how many Idahos are left in the box?",35,2th
"196 Argonauts are in a box. If you did built 35 Argonauts, how many Argonauts are left in the box?",161,2th
A bag contains 36 purple sanicles and 32 fadeouts. What is the total number of items in the bag?,68,2th
A bag contains 324 hagiographys and 52 military chaplains. What is the total number of items in the bag?,376,2th
A bag contains 62 Ravennas and 7 fictional characters. What is the total number of items in the bag?,69,2th
A bag contains 121 philadelphuss and 69 schemas. What is the total number of items in the bag?,190,2th
"49 rewritings are in a box. If you did found 24 rewritings, how many rewritings are left in the box?",25,2th
"You have 81 improbabilitys. If you  did bought 12 improbabilitys, how many improbabilitys do you have left?",69,2th
"There are 64 black ties in a bag. If you did cooked 26 black ties, how many black ties are left in the bag?",38,2th
"169 Mirabiliss are in a box. If you did mowed 93 Mirabiliss, how many Mirabiliss are left in the box?",76,2th
"83 chameleons are in a box. If you did harvested 1 chameleons, how many chameleons are left in the box?",82,2th
"There are 289 southern blue flags in a bag. If you did bought 86 southern blue flags, how many southern blue flags are left in the bag?",203,2th
"There are 121 printers in a bag. If you take out 23 printers, how many printers are left in the bag?",98,2th
"There are 144 axs in a bag. If you did painted 35 axs, how many axs are left in the bag?",109,2th
"There are 121 sleepings in a bag. If you did cooked 89 sleepings, how many sleepings are left in the bag?",32,2th
John has 90 Kelly. He lost away 7 Kellys. How many Kellys does he have now?,83,2th
"You have 169 cymules. If you  did ate 20 cymules, how many cymules do you have left?",149,2th
"There are 62 rotator cuffs in a bag. If you did folded 3 rotator cuffs, how many rotator cuffs are left in the bag?",59,2th
A bag contains 400 Astropogons and 85 benefactors. What is the total number of items in the bag?,485,2th
"There are 441 Osteoglossiformess in a bag. If you did had 67 Osteoglossiformess, how many Osteoglossiformess are left in the bag?",374,2th
"You have 289 speculums. If you  did had 40 speculums, how many speculums do you have left?",249,2th
A bag contains 441 fillets and 32 photocoagulators. What is the total number of items in the bag?,473,2th
"There are 225 Corellis in a bag. If you did picked_up 91 Corellis, how many Corellis are left in the bag?",134,2th
"5 couvertures are in a box. If you did had 2 couvertures, how many couvertures are left in the box?",3,2th
"You have 87 novitiates. If you  did had 8 novitiates, how many novitiates do you have left?",79,2th
"There are 91 libertarianisms in a bag. If you did washed 3 libertarianisms, how many libertarianisms are left in the bag?",88,2th
"There are 64 imprecisenesss in a bag. If you did ironed 38 imprecisenesss, how many imprecisenesss are left in the bag?",26,2th
"You have 42 Malteses. If you  did cleaned 1 Malteses, how many Malteses do you have left?",41,2th
"If you have 324 Benjamins and you did harvested 31 Benjamins, how many Benjamins do you have left?",293,2th
John has 90 Scleroderma flavidium. He did harvested 9 Scleroderma flavidiums. How many Scleroderma flavidiums does he have now?,81,2th
"If you have 95 covered options and you can buy 8 covered options, how many covered options do you have left?",87,2th
"There are 100 Sherwoods in a bag. If you can buy 54 Sherwoods, how many Sherwoods are left in the bag?",46,2th
A bag contains 91 horizons and 5 vigils. What is the total number of items in the bag?,96,2th
John has 441 California. He did dried 62 Californias. How many Californias does he have now?,379,2th
"64 Micahs are in a box. If you did harvested 2 Micahs, how many Micahs are left in the box?",62,2th
"There are 22 bins in a bag. If you did ate 1 bins, how many bins are left in the bag?",21,2th
A bag contains 87 lawyer-client relations and 9 raitas. What is the total number of items in the bag?,96,2th
A bag contains 101 ringers and 5 Goldie's ferns. What is the total number of items in the bag?,106,2th
A bag contains 196 Zimbabwes and 13 cotillions. What is the total number of items in the bag?,209,2th
"There are 36 perfectives in a bag. If you did folded 14 perfectives, how many perfectives are left in the bag?",22,2th
"There are 196 forsythias in a bag. If you did watered 90 forsythias, how many forsythias are left in the bag?",106,2th
John has 169 cow pen. He did harvested 94 cow pens. How many cow pens does he have now?,75,2th
"There are 78 immune responses in a bag. If you did folded 2 immune responses, how many immune responses are left in the bag?",76,2th
A bag contains 90 Big Bend National Parks and 2 big brothers. What is the total number of items in the bag?,92,2th
"45 genus Phloxs are in a box. If you gave away 3 genus Phloxs, how many genus Phloxs are left in the box?",42,2th
John has 256 drawing power. He did bought 95 drawing powers. How many drawing powers does he have now?,161,2th
"196 Monilialess are in a box. If you did organized 32 Monilialess, how many Monilialess are left in the box?",164,2th
